yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Saudi Arabia,Austria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2237502,,,47.59397,14.12456
2019,2019,Import,Saudi Arabia,Bahrain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",119828,,,26.1551249,50.5344606
2019,2019,Import,Saudi Arabia,Bangladesh,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",129024,,,24.4769288,90.2934413
2019,2019,Import,Saudi Arabia,Belgium,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",928283,,,50.6402809,4.6667145
2019,2019,Import,Saudi Arabia,Bosnia Herzegovina,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",26329,,,44.3053476,17.5961467
2019,2019,Import,Saudi Arabia,Brazil,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3985095,,,-10.3333333,-53.2
2019,2019,Import,Saudi Arabia,Brunei Darussalam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",171366,,,,
2019,2019,Import,Saudi Arabia,Bulgaria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",84698,,,42.6073975,25.4856617
2019,2019,Import,Saudi Arabia,Belarus,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3285,,,53.4250605,27.6971358
2019,2019,Import,Saudi Arabia,Cambodia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5994,,,12.5433216,104.8144914
2019,2019,Import,Saudi Arabia,Canada,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1784515,,,61.0666922,-107.991707
2019,2019,Import,Saudi Arabia,Sri Lanka,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",95237,,,7.5554942,80.7137847
2019,2019,Import,Saudi Arabia,Chile,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",54146,,,-31.7613365,-71.3187697
2019,2019,Import,Saudi Arabia,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",96096034,,,35.000074,104.999927
2019,2019,Import,Saudi Arabia,Colombia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",171965,,,4.099917,-72.9088133
2019,2019,Import,Saudi Arabia,Czechia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1131868,,,,
2019,2019,Import,Saudi Arabia,Denmark,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",426020,,,55.670249,10.3333283
2019,2019,Import,Saudi Arabia,Dominica,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5664,,,,
2019,2019,Import,Saudi Arabia,Finland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",347885,,,63.2467777,25.9209164
2019,2019,Import,Saudi Arabia,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",12795096,,,46.603354,1.8883335
2019,2019,Import,Saudi Arabia,Germany,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",32052474,,,51.1638175,10.4478313
2019,2019,Import,Saudi Arabia,Ghana,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",22157,,,8.0300284,-1.0800271
2019,2019,Import,Saudi Arabia,Greece,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",789329,,,38.9953683,21.9877132
2019,2019,Import,Saudi Arabia,"China, Hong Kong SAR",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",35213,,,22.350627,114.1849161
2019,2019,Import,Saudi Arabia,Hungary,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",541021,,,47.1817585,19.5060937
2019,2019,Import,Saudi Arabia,Iceland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3640,,,64.9841821,-18.1059013
2019,2019,Import,Saudi Arabia,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",116383,,,-2.4833826,117.8902853
2019,2019,Import,Saudi Arabia,Iraq,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",14845,,,33.0955793,44.1749775
2019,2019,Import,Saudi Arabia,Ireland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2068533,,,52.865196,-7.9794599
2019,2019,Import,Saudi Arabia,Italy,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",37280347,,,42.6384261,12.674297
2019,2019,Import,Saudi Arabia,Japan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",18202081,,,36.5748441,139.2394179
2019,2019,Import,Saudi Arabia,Jordan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",224021,,,31.1667049,36.941628
2019,2019,Import,Saudi Arabia,Dem. People's Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21210,,,,
2019,2019,Import,Saudi Arabia,Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6710869,,,,
2019,2019,Import,Saudi Arabia,Kuwait,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",80366,,,29.2733964,47.4979476
2019,2019,Import,Saudi Arabia,Lebanon,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",797212,,,33.8750629,35.843409
2019,2019,Import,Saudi Arabia,Luxembourg,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",75753,,,,
